take,clip_id,carrier,intended,text_sentiment,f0_mean,f0_std,f0_range,egemaps_loudness,egemaps_hnr,egemaps_jitter,egemaps_shimmer_db,rms,speech_rate_cps,permissive_predicted_sentiment,permissive_valence_proxy,research_valence,research_arousal
e3b,e3b_speaker1_positive_0_negative,I'm thrilled about the good news today.,negative,positive,99.03936326737242,47.50991209945575,376.22192690667225,0.7739732265472412,3.505284309387207,0.020350119099020958,1.2834309339523315,0.12524058996346427,11.576994434137292,negative,-0.9999985810167686,0.37529680132865906,0.17825812101364136
e3b,e3b_speaker1_positive_0_neutral,I'm thrilled about the good news today.,neutral,positive,110.15568380904936,17.62807551746929,79.42647289279094,0.882544219493866,4.062976837158203,0.02042219042778015,1.4037606716156006,0.14173847548900442,13.292999872182694,neutral,-0.13714831415563822,0.571186363697052,0.26963940262794495
e3b,e3b_speaker1_positive_0_positive,I'm thrilled about the good news today.,positive,positive,132.42497022623863,51.717568544987564,393.13972628578,0.8270801305770874,4.850229740142822,0.022608662024140358,1.3289823532104492,0.12888521631297642,13.976616046230346,negative,-0.9712708164006472,0.6517520546913147,0.4837208092212677
e3b,e3b_speaker1_positive_1_negative,This turned out to be the best day of my life.,negative,positive,102.04442988447246,11.585628532518355,61.99081726455191,0.6856943964958191,3.4529550075531006,0.025967184454202652,1.392923355102539,0.0995326279922049,17.230884487521656,negative,-0.9999999999991687,0.39327317476272583,0.2790726125240326
e3b,e3b_speaker1_positive_1_neutral,This turned out to be the best day of my life.,neutral,positive,116.13596611028782,57.03700347193745,419.94097801338387,0.8925162553787231,4.272143840789795,0.01753225177526474,1.3176084756851196,0.14256165610444038,15.32694710537276,negative,-0.9967442982418788,0.46934184432029724,0.3061365485191345
e3b,e3b_speaker1_positive_1_positive,This turned out to be the best day of my life.,positive,positive,131.86745760737517,25.341123182870973,112.71887229928274,0.8640639781951904,4.735548973083496,0.03245938569307327,1.4287961721420288,0.13823240853781715,13.169195533924993,negative,-0.9999561566546618,0.45513808727264404,0.5585996508598328
e3b,e3b_speaker1_positive_2_negative,I really appreciate everything you've done for me.,negative,positive,98.45615256369997,12.81191335817441,47.16195539455377,0.4937649071216583,3.982508659362793,0.022278252989053726,1.1546862125396729,0.07662466273741317,15.213753232922562,negative,-0.9999998807880616,0.5454696416854858,0.26274552941322327
e3b,e3b_speaker1_positive_2_neutral,I really appreciate everything you've done for me.,neutral,positive,124.617477535975,70.59077696674322,393.731280119175,0.9876390099525452,4.7921600341796875,0.019317522644996643,1.3123745918273926,0.15152384367284732,20.249063480814012,negative,-0.9999977350233351,0.6765061020851135,0.3714677691459656
e3b,e3b_speaker1_positive_2_positive,I really appreciate everything you've done for me.,positive,positive,145.93766316892422,44.95972385744191,405.25250589373525,0.8116039037704468,4.945970058441162,0.03453122079372406,1.1687440872192383,0.13813255314646952,15.5448468832582,negative,-0.9999999991700634,0.8431718945503235,0.6108303070068359
e3b,e3b_speaker1_neutral_0_negative,The meeting is scheduled for three o'clock.,negative,neutral,102.87244763986175,10.17446205522815,39.25296681641052,0.6800438761711121,4.026127815246582,0.02158164046704769,1.2718652486801147,0.09144760866523285,13.401379095406911,negative,-0.9999935495388854,0.32994359731674194,0.26433414220809937
e3b,e3b_speaker1_neutral_0_neutral,The meeting is scheduled for three o'clock.,neutral,neutral,115.81146944169795,15.252088506244196,70.10111632855929,0.8620379567146301,5.135709762573242,0.020529696717858315,1.1660293340682983,0.14031833691221138,18.72822299651568,neutral,-0.04775665999929035,0.44601935148239136,0.3112279176712036
e3b,e3b_speaker1_neutral_0_positive,The meeting is scheduled for three o'clock.,positive,neutral,135.03107250053014,20.54407289384399,79.87917375398399,0.7274957299232483,4.66776704788208,0.02794642560184002,1.4186832904815674,0.13455411181363658,15.665558540917164,negative,-0.9878591201268137,0.5102779269218445,0.4904510974884033
e3b,e3b_speaker1_neutral_1_negative,I need to pick up groceries later today.,negative,neutral,103.24420241052832,12.358801776201227,48.68580461172452,0.9071269631385803,4.4551682472229,0.017303019762039185,1.269754409790039,0.15331310175429946,15.037593984962406,negative,-0.9963706731643768,0.39570245146751404,0.2839793562889099
